,draft_yr,pick,fg_pct,fg3_pct,ft_pct,min_pg,pts_pg,trb_pg,ast_pg,fg_pg,fga_pg,fg3_pg,fg3a_pg,efg_pct,ft_pg,fta_pg,orb_pg,drb_pg,steals_pg,blocks_pg,tov_pg,pf_pg,ws_per_game,bpm,vorp,attend_college,inches,pounds,pos_num,player_comp
89,2017,41,0.389,0.35,0.669,16.1,6.7,2.3,1.3,2.4,6.2,1.1,3.2,0.478,0.8,1.2,0.4,1.9,0.3,0.1,0.6,1.1,0.03,-4.1,-0.9,1,77,183,2,Zhaire Smith
90,2017,42,0.606,0.312,0.767,18,9,5.4,1.1,3.6,6,0.4,1.3,0.639,1.3,1.7,1.3,4.1,0.3,0.8,0.7,1.5,0.172,1.3,1.3,1,83,248,5,Richaun Holmes
91,2017,43,0.488,0.333,0.786,7.9,1.9,1.7,0.5,0.7,1.5,0.1,0.2,0.512,0.4,0.5,0.8,0.9,0.3,0.4,0.5,2,0.101,-0.6,0.1,0,84,249,4,Guerschon Yabusele
92,2017,44,0.421,0.361,0.736,21.2,8.2,3,1.4,3.1,7.3,1.3,3.5,0.508,0.8,1,0.4,2.6,0.6,0.1,0.8,1.4,0.041,-2.5,-0.3,1,78,210,2,Wayne Ellington
93,2017,45,0.435,0.359,0.745,26.8,10.3,2.9,1.5,3.9,8.9,1.1,3,0.496,1.5,2,0.6,2.3,0.8,0.2,1.4,2.8,0.021,-3.5,-1,1,78,220,3,Kelly Oubre
94,2017,46,0.439,0.357,0.758,16.2,5.3,2.9,1,2,4.6,0.8,2.1,0.521,0.4,0.6,0.5,2.4,0.5,0.2,0.6,1.5,0.074,-2.6,-0.3,1,78,232,2,Pat Connaughton
95,2017,47,0.333,0,0.833,2.6,0.9,0.9,0.1,0.3,0.9,0,0,0.333,0.4,0.4,0.4,0.4,0.1,0.3,0.2,0.1,0.057,-6.8,0,1,82,250,5,Solomon Alabi
96,2017,48,0.415,0.342,0.689,10.7,2.5,1.3,0.6,0.9,2.1,0.2,0.6,0.461,0.6,0.9,0.3,1.1,0.5,0.2,0.5,1.2,0.034,-2.1,0,1,77,215,2,Kim English
97,2017,51,0.494,0.412,0.807,23.5,10.1,2.3,3.6,4.1,8.3,1.1,2.7,0.561,0.8,1,0.4,1.9,0.9,0,0.6,1.2,0.153,0.2,1.1,1,75,175,1,Jalen Brunson
98,2017,52,0.354,0.259,0.625,8.8,2.8,1,0.4,1,2.7,0.3,1.1,0.408,0.6,1,0.4,0.7,0.5,0.2,0.4,1.1,0.024,-3.6,-0.1,1,78,176,1,Kim English
99,2017,53,0.436,0.362,0.778,14.1,5.6,1.7,2.4,1.9,4.4,0.5,1.3,0.488,1.3,1.7,0.3,1.4,0.5,0.2,0.9,1.6,0.08,-2.2,0,1,75,192,1,Ray McCallum
100,2017,54,0.378,0.31,0.8,11.3,4.1,1.9,0.6,1.4,3.7,0.9,2.9,0.5,0.4,0.5,0.4,1.5,0.1,0.1,0.2,0.7,0.055,-3.3,-0.1,1,81,232,4,Georges Niang
101,2017,56,0.577,0.429,0.462,8.8,3,1.5,0.6,1.2,2,0.2,0.5,0.635,0.5,1,0.5,1,0.2,0.1,0.6,0.5,0.098,-2.1,0,1,78,198,2,Malik Hairston
102,2017,59,0.443,0.256,0.769,16.3,4.2,3.6,0.5,1.7,3.9,0.4,1.4,0.491,0.4,0.5,1,2.7,0.3,0.3,0.4,0.7,0.03,-4.5,-0.3,1,80,220,3,Keita Bates-Diop
103,2016,1,0.554,0,0.583,34,16.4,8.5,7.9,6.8,12.2,0,0.1,0.554,2.8,4.8,2,6.5,1.6,0.8,3.5,2.6,0.154,4.3,8.7,1,82,230,1,Carlos Boozer
104,2016,2,0.458,0.329,0.662,31.7,13.9,4.7,2.9,5.2,11.5,0.7,2,0.487,2.7,4.1,0.8,3.9,0.6,0.6,2.1,2.5,0.036,-2.7,-1,1,81,190,3,Josh Jackson
105,2016,3,0.462,0.365,0.658,24.4,11.2,4,1.3,4.2,9.1,1.2,3.2,0.527,1.7,2.5,0.8,3.2,0.8,0.3,1.3,2.3,0.08,-1.8,0.3,1,79,220,3,Kelly Oubre
